workload,prompt_idx,policy,error_type,K,accepted_or_entropy
humaneval,25,fixed_1,Under-Drafting,1,0.1951504796743393
humaneval,25,fixed_1,Under-Drafting,1,0.09361178427934647
humaneval,25,fixed_1,Under-Drafting,1,0.008634813129901886
humaneval,25,fixed_1,Under-Drafting,1,0.1806260198354721
humaneval,25,fixed_1,Under-Drafting,1,0.12597841024398804
humaneval,25,fixed_1,Under-Drafting,1,0.010476794093847275
humaneval,25,fixed_1,Under-Drafting,1,0.05419298633933067
humaneval,25,fixed_1,Under-Drafting,1,0.016744129359722137
humaneval,25,fixed_1,Under-Drafting,1,0.008266913704574108
humaneval,25,fixed_1,Under-Drafting,1,0.031534042209386826
humaneval,25,fixed_1,Under-Drafting,1,0.0004785124328918755
humaneval,26,fixed_1,Under-Drafting,1,0.05436406657099724
humaneval,26,fixed_1,Under-Drafting,1,0.09243802726268768
humaneval,26,fixed_1,Under-Drafting,1,0.038656484335660934
humaneval,26,fixed_1,Under-Drafting,1,0.10908031463623047
humaneval,26,fixed_1,Under-Drafting,1,0.05559948831796646
humaneval,26,fixed_1,Under-Drafting,1,0.06804312020540237
humaneval,26,fixed_1,Under-Drafting,1,0.02388114482164383
humaneval,26,fixed_1,Under-Drafting,1,0.05475836247205734
humaneval,26,fixed_1,Under-Drafting,1,0.12783196568489075
humaneval,26,fixed_1,Under-Drafting,1,0.06214373931288719
humaneval,26,fixed_1,Under-Drafting,1,0.15083885192871094
humaneval,26,fixed_1,Under-Drafting,1,0.10607999563217163
humaneval,26,fixed_1,Under-Drafting,1,0.190416157245636
humaneval,26,fixed_1,Under-Drafting,1,0.08547548949718475
humaneval,26,fixed_1,Under-Drafting,1,0.13991858065128326
humaneval,26,fixed_1,Under-Drafting,1,0.15831258893013
humaneval,26,fixed_1,Under-Drafting,1,0.015749288722872734
humaneval,26,fixed_1,Under-Drafting,1,0.004923943430185318
humaneval,26,fixed_1,Under-Drafting,1,0.05132162570953369
humaneval,26,fixed_1,Under-Drafting,1,0.026075556874275208
humaneval,26,fixed_1,Under-Drafting,1,0.009748167358338833
humaneval,26,fixed_1,Under-Drafting,1,0.03095616027712822
humaneval,27,fixed_1,Under-Drafting,1,0.02676180750131607
humaneval,27,fixed_1,Under-Drafting,1,0.020624496042728424
humaneval,27,fixed_1,Under-Drafting,1,0.002126032020896673
humaneval,27,fixed_1,Under-Drafting,1,0.1053466796875
humaneval,27,fixed_1,Under-Drafting,1,0.18820495903491974
humaneval,27,fixed_1,Under-Drafting,1,0.003797361394390464
humaneval,27,fixed_1,Under-Drafting,1,0.017741266638040543
humaneval,27,fixed_1,Under-Drafting,1,0.0030522847082465887
humaneval,27,fixed_1,Under-Drafting,1,0.06373375654220581
humaneval,27,fixed_1,Under-Drafting,1,0.0028420924209058285
humaneval,27,fixed_1,Under-Drafting,1,0.07823893427848816
humaneval,27,fixed_1,Under-Drafting,1,0.038905926048755646
